comment_id,parent_id,username,comment,comment_time,like_count,reply_count
17997490652815361,,imran.irdam,"🔥teringat ini anak pakai uniform menaker ada tanda pangkat begitu, rupanya buat meras ?",1755902420,0,0
18147324997397013,,andrietanoto,Gaji besar bukan jaminan ga korupsi kan 😂😂 siapa yg kemarin naikin gaji hakim agar ga terima suap? 😂,1755902425,0,0
18086021209892850,,fauji_bin_junaedi,Org susah lupa diri,1755902467,0,0
18051100778228568,,ellasandraofficial,Yang nulis sapa sih ini 😸,1755902499,0,0
18041933012655351,,ekasmwt_,Suka sama narasinyaaaaaaaa 😂,1755902566,0,0
18063574508360156,,rizkiariesa,"Orang kaya baru dg mental serakah. Ini orang mengkhianati Asta Cita Presiden @prabowo . Bapak Presiden kl sampe kasih amnesti ke koruptor ini, berarti Bapak @prabowo mengkhianati keadilan. Pikir berkali2 yes Pak 🙏🏼",1755902605,0,0
18076361818820705,,feiftinfa,"Wajar pemerintahan kita bobrok, isinya orang orang yg tidak kompeten di bidang nya",1755902676,0,0
17921481006123566,,oliveadrians,titik gacor😩,1755902736,1,0
18014528771592217,,wahyuadi_arief,Karier penjilat yg cemerlang,1755902941,0,0
18090970036776668,,inihafidz,Titik gacor wkwkwkw,1755902970,0,0
17854081524512991,,novia_24,😂😂😂,1755903060,0,0
18165762868362398,,archieluv12,😂,1755903174,0,0
18074458547012601,,srisuryani85,Okb ternyata....😂,1755903292,0,0
18049173491263792,,indahchrunnisa7,"Makanya bersyukur pak, udh dikasih jabatan posisi enak eh malah ambil hal org lain. Selamat yaa hukuman mati🤭",1755903340,0,0
18074715143314513,,yulirochmawati,😂😂😂😂,1755903369,0,0
18323317939225830,,mengsaddy,nangeeesss😂,1755903575,0,0
18368971495150609,,mr_smile_officially,Mental malink sudah mendarah daging di negeri yg mau bubar ini,1755903692,0,0
18108603172534678,,ade.ayin1711,Yok... Penjilat2 laennya segera menyusul... Bisa yok bisa...,1755903736,0,0
18089511586749481,,tabrani_nti,Dari hijau pindah ke oren 🔥,1755903840,0,0
17919159780152112,,mar_mirmur,"Dari jaket ijo ke rompi oren.. Ciyee.. Abis ini jadi host live, biar dapet pengampunan",1755903894,0,0
18063456215013161,,her.manlie,Mari ikuti cara cara hidupnya untuk dijadikan pelajaran.,1755903917,0,0
18066694232235112,,hanifrmdhn,nci nci pabrik pasti ketawa ini mh 😂😂😂😂,1755903995,0,0
17978285816872385,,winstorybook,Akhirnya pulang kampung,1755904042,0,0
18150179104401014,,t0yik,"Lulusan ojek, jadi penjilat kemudian diangkat jadi Wamen. Bukan main kelakuanmu @jokowi",1755904242,1,0
17930489214088429,,berisikbangettt,"Min @narasinewsroom, ngga ada niatan oprec ? Pasti cape bikin berita tentang negara yang melelahkan inii 😌",1755904282,1,0
18069028501902856,,plau7003,Keren prestasinya😂,1755904401,0,0
18017384303750445,,nayyakids_corner,😂😂 dan skrg ngemis amnesti ke Prabowo 😂,1755904430,0,0
18056831669136988,,adeku__,:V,1755904517,0,0
18071162069473359,,dienananaa,Pantes sertifikasi k3 mehong bet harganya wkwkkw,1755904653,0,0
18068736413217441,,osoenarko,🔥🔥🔥,1755904709,0,0
18027356267709690,,fridanurulia,Alhamdulillah dulu aja ges. Moga mati di penjara. Aamiin,1755904742,0,0
18520464994046817,,hanumindahh,"Jgn gitu, takut plot twist tiba2 bebas krn berkelakuan baik beuh",1755904776,0,0
18072608228027587,,awallevine,Di tunggu hukuman mati nya NOEL.🔥,1755904858,1,0
17918685636113667,,mohikhsani,"Jokowi Mania, Ganjar Mania, dan Prabowo Mania. 😂😂😂",1755904927,0,0
18074423723068911,,c_senjaya,"TAMPANG JELEK, LIAT DIA PENGEN MUNTAH 🤮🤮🤮🤮🤮",1755905126,0,0
18083552650713382,,heptinangkasawati,Masih inget di TV bilang HRS penghamba uang...ternyata memang biasanya bercermin pada diri sendiri..😂,1755905219,1,0
17909818815198478,,yuniskanur,Kaya e item fashion rompi itu jadi tren di kalangan para pejabat ya,1755905395,0,0
18521314261059385,,gazali_wg,"Zero to hero × , zero to zero ✓😂😂😂😂",1755905477,0,0
18086680138876668,,nenylitaay,Titik gacor ga tuh 😂😭,1755905543,0,0
17995407656670494,,imperfectzy_23,"Jadiii pembelajarannya adalaaahhh.. Pinter (apa lg kl cm pinter bacot) ga ada apa2nya kl lu ga punya MORAL, ga punya VALUE. Inilah contoh buruk utk qta semua. Ujung2nya pake rompi oren. Bgitu yaaaa dik adik millenials..",1755905621,1,0
18074361047000192,,landbeforestars,Akhirnya satu berita baik,1755905907,0,0
18412130803109309,,azhareeyy,Wkwkwk gacooorrr 🤣,1755905909,0,0
18132767209443845,,arjo_jr,Info dukun bang noel,1755906238,1,0
18338910355166545,,mayangrantika,"Kufur nikmat, sm allah diangkat derajat tp lo salah gunain. Lagian heran, credibilitas cem ormas gini tiba2 jd wamen 🤣🤣🤣",1755906348,0,0
18172826926351190,,ypeddyy,Gacorrr euyyy 🔥🔥🙌🙌,1755906443,0,0
17890425198300690,,indah_hugi,Njirr 2016 waktu saya aktif2nya naik ojol dari daerah sini.. moga gak pernah naik dia 😂,1755906515,0,0
